paper_id,title,authors,year,venue,url,doi,arxiv_id,pdf_url,code_url,code_available,capability_level,topic_track,inclusion_tier,medical_modality,clinical_area,state_representation,action_or_intervention,transition_model,outcome_or_reward,validation_level,description
MWM0011,LeJEPA + I-JEPA: A World-Model-Grounded Multi-Agent Framework for Medical AGI,Frank Morales,2026,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.20101620,10.5281/zenodo.20101620,,,not_extracted,yes,L2 action-conditioned simulation,T4_ehr_patient_trajectory,core,EHR/structured records; surgical video/robotics; CT,radiology/general imaging; surgery; chronic disease/digital health,patient timeline / structured EHR state,yes,latent dynamics,clinical outcome/risk; future image/state; treatment response; diagnosis,prospective_or_trial,"Executive Summary: LeJEPA + I-JEPA Medical AGI LEJEPA_IJEPA_MEDICAL_AGI is an open-source, multi-agent framework designed to achieve clinically validated medical image analysis."
MWM0012,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,"Ding, Tianxingjian; Zou, Yuanhao; Chen, Chen; Shah, Mubarak; Tian, Yu",2025,ArXiv.org,https://arxiv.org/abs/2512.08029,10.48550/arXiv.2512.08029,2512.08029,https://arxiv.org/pdf/2512.08029.pdf,,unknown,L4 planning/control,T5_counterfactual_treatment_planning,core,not_reported,oncology/tumor; radiology/general imaging,latent state,yes,diffusion/generative transition,future image/state; treatment response,retrospective_benchmark,"Clinical decision-making in oncology requires predicting dynamic disease evolution, a task current static AI predictors cannot perform."
MWM0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,Minghao Wu; Yuting Yan; Zhenyang Cai; Ke Ji; Chuangsen Fang; Ziying Sheng; Xidong Wang; Rongsheng Wang; et al.,2026,ArXiv.org,https://arxiv.org/abs/2605.14723,10.48550/arXiv.2605.14723,2605.14723,https://arxiv.org/pdf/2605.14723.pdf,,unknown,L2 action-conditioned simulation,T5_counterfactual_treatment_planning,core,physiology signal,critical care/sepsis; radiology/general imaging,latent state,yes,latent dynamics,treatment response; control success,not_reported,Sepsis management in the ICU requires sequential treatment decisions under rapidly evolving patient physiology.
MWM0014,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,Zhikang Chen; Yue Wang; Sen Cui; Yu Zhang; Changshui Zhang; Tianling Ren; Tingting Zhu,2026,ArXiv.org,https://arxiv.org/abs/2605.17580,10.48550/arXiv.2605.17580,2605.17580,https://arxiv.org/pdf/2605.17580.pdf,,unknown,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,physiology signal,cardiology; critical care/sepsis; radiology/general imaging,visual-motor / physiology state,yes,diffusion/generative transition,clinical outcome/risk; future image/state; treatment response; diagnosis; control success,not_reported,"Electrocardiogram (ECG)-based models have achieved strong performance in diagnostic tasks, yet they remain limited in modeling how cardiac dynamics evolve under external interventions."
MWM0015,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,S Sivakumar; Akwele Johnson; Anirudh Dhingra; Yannik Frisch; Ghazal Ghazaei; Anirban Mukhopadhyay,2026,ArXiv.org,https://arxiv.org/abs/2605.16530,10.48550/arXiv.2605.16530,2605.16530,https://arxiv.org/pdf/2605.16530.pdf,not_extracted,yes,L1 future prediction,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,neurology/neurodegeneration; radiology/general imaging; surgery,visual-motor / physiology state,yes,diffusion/generative transition,future image/state,not_reported,Realistic surgical simulation plays a crucial role in training novice surgeons and in the development of autonomous agents.
MWM0016,How Far Are Surgeons from Surgical World Models? A Pilot Study on Zero-shot Surgical Video Generation with Expert Assessment,"Zhen Chen; Qing Xu; Jinlin Wu; Biao Yang; Yuhao Zhai; Guo, Geng; Jing Zhang; Yinlu Ding; et al.",2025,ArXiv.org,https://arxiv.org/abs/2511.01775,10.48550/arXiv.2511.01775,2511.01775,https://arxiv.org/pdf/2511.01775.pdf,,unknown,L1 future prediction,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,neurology/neurodegeneration; radiology/general imaging; surgery,visual-motor / physiology state,yes,latent dynamics,future image/state,expert_evaluation,Foundation models in video generation are demonstrating remarkable capabilities as potential world models for simulating the physical world.
MWM0017,World Models for General Surgical Grasping,Hongbin Lin,2024,unknown,https://arxiv.org/abs/2405.17940,10.48550/arXiv.2405.17940,2405.17940,https://arxiv.org/pdf/2405.17940.pdf,not_extracted,yes,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,critical care/sepsis; radiology/general imaging; surgery,visual-motor / physiology state,yes,latent dynamics,control success,not_reported,Intelligent vision control systems for surgical robots should adapt to unknown and diverse objects while being robust to system disturbances.Previous methods did not meet these requirements due to mainly relying on pose…
MWM0018,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,Yang Yue; Yulin Wang; Haojun Jiang; Pan Liu; Shiji Song; Gao Huang,2025,ArXiv.org,https://arxiv.org/abs/2504.13065,10.48550/arXiv.2504.13065,2504.13065,https://arxiv.org/pdf/2504.13065.pdf,https://github.com/leaplabthu/echoworld.,yes,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,ultrasound/echocardiography,cardiology; radiology/general imaging,visual-motor / physiology state,yes,latent dynamics,clinical outcome/risk; control success,not_reported,Echocardiography is crucial for cardiovascular disease detection but relies heavily on experienced sonographers.
MWM0019,Surgical Vision World Model,Saurabh Koju; Saurav Bastola; Prashant Shrestha; Sanskar Amgain; Yash Raj Shrestha; Rudra P. K. Poudel; Binod Bhattarai,2025,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-08009-7_1,10.1007/978-3-032-08009-7_1,2503.02904,https://arxiv.org/pdf/2503.02904.pdf,,unknown,L0 static prediction,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,radiology/general imaging; surgery,visual-motor / physiology state,no_or_not_explicit,latent dynamics,not_reported,not_reported,metadata-only candidate; needs reading note
MWM0020,"Unified Surgical World Model for Structured Understanding, Long-Horizon Prediction, and Fine-Grained Generation",unknown,2025,unknown,https://openreview.net/forum?id=Kk9t5empEf,,,https://openreview.net/pdf?id=Kk9t5empEf,,unknown,L0 static prediction,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,radiology/general imaging; surgery,visual-motor / physiology state,no_or_not_explicit,latent dynamics,future image/state,not_reported,metadata-only candidate; needs reading note
MWM0021,Visuomotor Grasping with World Models for Surgical Robots,unknown,2025,unknown,https://arxiv.org/abs/2508.11200,10.48550/arXiv.2508.11200,2508.11200,https://arxiv.org/pdf/2508.11200.pdf,,unknown,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,surgery,visual-motor / physiology state,no_or_not_explicit,latent dynamics,control success,not_reported,metadata-only candidate; needs reading note
MWM0022,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,Haojun Jiang; Zhenguo Sun; Ning Jia; Meng Li; Yu Sun; Shaqi Luo; Shiji Song; Gao Huang,2024,Lecture notes in computer science,https://doi.org/10.1007/978-3-031-72378-0_18,10.1007/978-3-031-72378-0_18,,,,unknown,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,ultrasound/echocardiography,cardiology; radiology/general imaging,visual-motor / physiology state,yes,latent dynamics,control success,not_reported,metadata-only candidate; needs reading note
MWM0023,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,Sampath Rapuri; Lalithkumar Seenivasan; Dominik Schneider; Roger D. Soberanis-Mukul; Yufan He; Hao Ding; Jiru Xu; Chenhao Yu; et al.,2026,arXiv (Cornell University),http://arxiv.org/abs/2603.13024,,2603.13024,https://arxiv.org/pdf/2603.13024.pdf,,unknown,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,radiology/general imaging; surgery,visual-motor / physiology state,yes,diffusion/generative transition,future image/state; control success,retrospective_benchmark,A surgical world model capable of generating realistic surgical action videos with precise control over tool-tissue interactions can address fundamental challenges in surgical AI and simulation -- from data scarcity and…
MWM0024,Surgical Robot Learning: From Demonstration and Simulation to World Models-A Review,Maxence Boels; Harry Robertshaw; Thomas C. Booth; Alejandro Granados; Prokar Dasgupta; Sébastien Ourselin,2025,unknown,https://doi.org/10.36227/techrxiv.175691283.37220268/v1,10.36227/techrxiv.175691283.37220268/v1,,,,unknown,L4 planning/control,T6_surgical_robotic_physiology_world_model,core,surgical video/robotics,radiology/general imaging; surgery,visual-motor / physiology state,yes,latent dynamics,future image/state; control success,not_reported,"Robot-assisted minimally invasive surgery is widely adopted, yet systems are predominantly teleoperated, and progress towards autonomy remains challenging."
MWM0025,Medical World Model,Yijun Yang; Zhao-Yang Wang; Qiuping Liu; Shuwen Sun; Wang Kang; Rama Chellappa; Zongwei Zhou; Alan Yuille; et al.,2025,unknown,https://doi.org/10.1109/iccv51701.2025.00779,10.1109/iccv51701.2025.00779,2025.00779,https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_Medical_World_Model_ICCV_2025_paper.pdf,,unknown,L0 static prediction,T7_background_methods,core,not_reported,general healthcare,latent state,no_or_not_explicit,latent dynamics,not_reported,not_reported,metadata-only candidate; needs reading note
MWM0026,A consensus statement on the use of digital twins in medicine,Jeffrey David Iqbal; Michael Krauthammer; Claudia M. Witt; Nikola Biller‐Andorno; Markus Christen,2025,npj Digital Medicine,https://doi.org/10.1038/s41746-025-01897-4,10.1038/s41746-025-01897-4,,https://www.nature.com/articles/s41746-025-01897-4.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis,not_reported,"Digital Health Technologies represent a marked shift from current medical technologies in use, the approach to health and healthcare and stakeholders engaged in healthcare delivery."
MWM0027,Digital twins for health: a scoping review,Evangelia Katsoulakis; Qi Wang; Huanmei Wu; Leili Shahriyari; R. Fletcher; Jinwei Liu; Luke E. K. Achenie; Hongfang Liu; et al.,2024,npj Digital Medicine,https://doi.org/10.1038/s41746-024-01073-0,10.1038/s41746-024-01073-0,,https://www.nature.com/articles/s41746-024-01073-0.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,treatment response,not_reported,"The use of digital twins (DTs) has proliferated across various fields and industries, with a recent surge in the healthcare sector."
MWM0028,From data-driven cities to data-driven tumors: dynamic digital twins for adaptive oncology,İrem Karaman; Burhan Sebin,2025,Frontiers in Artificial Intelligence,https://doi.org/10.3389/frai.2025.1624877,10.3389/frai.2025.1624877,,https://public-pages-files-2025.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1624877/pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,EHR/structured records; MRI; X-ray/radiograph; multimodal; CT,oncology/tumor; neurology/neurodegeneration; cardiology; critical care/sepsis; radiology/general imaging; chronic disease/digital health,patient-specific simulator state,yes,diffusion/generative transition,clinical outcome/risk; future image/state; treatment response; control success,prospective_or_trial,"IntroductionOncology is undergoing a transformation due to the advent of digital twin technology, which enables precision therapy by creating synchronized virtual copies of physical systems."
MWM0029,The potential and pitfalls of artificial intelligence in clinical pharmacology,Martin Johnson; Mishal Patel; Alex Phipps; Mihaela van der Schaar; Dave Boulton; Megan Gibbs,2023,CPT Pharmacometrics & Systems Pharmacology,https://doi.org/10.1002/psp4.12902,10.1002/psp4.12902,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,EHR/structured records; physiology signal,oncology/tumor; neurology/neurodegeneration; radiology/general imaging,patient-specific simulator state,yes,mechanistic or ODE transition,clinical outcome/risk; future image/state; treatment response; control success,prospective_or_trial,Artificial intelligence (AI) involves using data and algorithms to perform activities normally achieved through human intelligence.
MWM0030,Digital Twins Generated by Artificial Intelligence in Personalized Healthcare,M. Łukaniszyn; Łukasz Majka; Barbara Grochowicz; Dariusz Mikołajewski; Aleksandra Kawala‐Sterniuk,2024,Applied Sciences,https://doi.org/10.3390/app14209404,10.3390/app14209404,,https://www.mdpi.com/2076-3417/14/20/9404/pdf?version=1728989109,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,temporal trajectory model,clinical outcome/risk; future image/state; treatment response; diagnosis,prospective_or_trial,Digital society strategies in healthcare include the rapid development of digital twins (DTs) for patients and human organs in medical research and the use of artificial intelligence (AI) in clinical practice to develop…
MWM0031,How artificial intelligence might disrupt diagnostics in hematology in the near future,Wencke Walter; Claudia Haferlach; Niroshan Nadarajah; Ines Schmidts; Constanze Kühn; Wolfgang Kern; Torsten Haferlach,2021,Oncogene,https://doi.org/10.1038/s41388-021-01861-y,10.1038/s41388-021-01861-y,,https://www.nature.com/articles/s41388-021-01861-y.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,EHR/structured records,radiology/general imaging,patient-specific simulator state,yes,temporal trajectory model,future image/state; treatment response; diagnosis,prospective_or_trial,Artificial intelligence (AI) is about to make itself indispensable in the health care sector.
MWM0032,Patient-Specific Digital Twins for Personalized Healthcare: A Hybrid AI and Simulation-Based Framework,Harshit Sharma; Simran Kaur,2025,IEEE Access,https://doi.org/10.1109/access.2025.3598130,10.1109/access.2025.3598130,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,physiology signal,cardiology; radiology/general imaging,patient-specific simulator state,yes,mechanistic or ODE transition,clinical outcome/risk; future image/state; treatment response; diagnosis,retrospective_benchmark,"Digital twins (DTs) represent a transformative paradigm in personalized medicine, enabling real-time, patient-specific simulations that support precision diagnosis, continuous monitoring, and adaptive treatment planning."
MWM0033,"Computational Nuclear Oncology Toward Precision Radiopharmaceutical Therapies: Ethical, Regulatory, and Socioeconomic Dimensions of Theranostic Digital Twins",Lidia Strigari; Jazmin Schwarz; Tyler Bradshaw; Julia Brosch-Lenz; Geoffrey Currie; Georges El‐Fakhri; Abhinav K. Jha; Signe Mežinska; et al.,2025,Journal of Nuclear Medicine,https://doi.org/10.2967/jnumed.124.268186,10.2967/jnumed.124.268186,,https://jnm.snmjournals.org/content/jnumed/early/2025/01/23/jnumed.124.268186.full.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,oncology/tumor; radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response,not_reported,Computational nuclear oncology for precision radiopharmaceutical therapy (RPT) is a new frontier for theranostic treatment personalization.
MWM0034,Current progress of digital twin construction using medical imaging,Feng Zhao; Yizhou Wu; Mingzhe Hu; Chih‐Wei Chang; Ruirui Liu; Richard L. J. Qiu; Xiaofeng Yang,2025,Journal of Applied Clinical Medical Physics,https://doi.org/10.1002/acm2.70226,10.1002/acm2.70226,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,MRI; ultrasound/echocardiography; physiology signal; multimodal; CT,radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis,not_reported,"Medical imaging is fundamental to digital twin technology, enabling patient-specific virtual models of anatomy and physiology."
MWM0035,Digital twins in healthcare: a comprehensive review and future directions,Hamid Khoshfekr Rudsari; Becky Tseng; Hongxu Zhu; Lulu Song; Chunhui Gu; Abhishikta Roy; Ehsan Irajizad; Joseph D. Butner; et al.,2025,Frontiers in Digital Health,https://doi.org/10.3389/fdgth.2025.1633539,10.3389/fdgth.2025.1633539,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,oncology/tumor; neurology/neurodegeneration; cardiology; radiology/general imaging; chronic disease/digital health,patient-specific simulator state,yes,not_reported,future image/state; treatment response; control success,not_reported,"Digital Twin (DT) technology has emerged as a transformative force in healthcare, offering unprecedented opportunities for personalized medicine, treatment optimization, and disease prevention."
MWM0036,"The Era of Preemptive Medicine: Developing Medical Digital Twins through Omics, IoT, and AI Integration",Tadao Ooka,2025,JMA Journal,https://doi.org/10.31662/jmaj.2024-0213,10.31662/jmaj.2024-0213,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging; chronic disease/digital health,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; control success,prospective_or_trial,Preemptive medicine represents a paradigm shift from reactive treatment to proactive disease prevention.
MWM0037,Digital Twins: The New Frontier for Personalized Medicine?,Michaela Cellina; Maurizio Cè; Marco Alì; Giovanni Irmici; Simona Ibba; Elena Caloro; Deborah Fazzini; Giancarlo Oliva; et al.,2023,Applied Sciences,https://doi.org/10.3390/app13137940,10.3390/app13137940,,https://www.mdpi.com/2076-3417/13/13/7940/pdf?version=1688650020,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics; physiology signal,radiology/general imaging; surgery,patient-specific simulator state,yes,diffusion/generative transition,clinical outcome/risk; future image/state; treatment response; diagnosis,not_reported,Digital twins are virtual replicas of physical objects or systems.
MWM0038,Mapping the use of computational modelling and simulation in clinics: A survey,R Lesage; Michiel Van Oudheusden; Silvia Schievano; Ine Van Hoyweghen; Liesbet Geris; Claudio Capelli,2023,Frontiers in Medical Technology,https://doi.org/10.3389/fmedt.2023.1125524,10.3389/fmedt.2023.1125524,,https://www.frontiersin.org/articles/10.3389/fmedt.2023.1125524/pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics,radiology/general imaging; surgery,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,prospective_or_trial,"In silico medicine describes the application of computational modelling and simulation (CM&amp;amp;S) to the study, diagnosis, treatment or prevention of a disease."
MWM0039,Opportunities and challenges of digital twin technology in healthcare,Mingbang Wang; Huijuan Hu; Song Wu,2023,Chinese Medical Journal,https://doi.org/10.1097/cm9.0000000000002896,10.1097/cm9.0000000000002896,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics,oncology/tumor; cardiology; critical care/sepsis; radiology/general imaging; surgery,patient-specific simulator state,yes,mechanistic or ODE transition,clinical outcome/risk; future image/state; treatment response; diagnosis; control success,prospective_or_trial,To the Editor: The classic case considered to be the primary application of the digital twin approach is the Apollo 13 mission in 1970.
MWM0040,A systematic review of AI as a digital twin for prostate cancer care,Annette John; Reda Alhajj; Jon Rokne,2025,Computer Methods and Programs in Biomedicine,https://doi.org/10.1016/j.cmpb.2025.108804,10.1016/j.cmpb.2025.108804,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,oncology/tumor; radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis,expert_evaluation,"Artificial Intelligence (AI) and Digital Twin (DT) technologies are rapidly transforming healthcare, offering the potential for personalized, accurate, and efficient medical care."
MWM0041,Current and future use of artificial intelligence in valvular heart disease imaging,Partho P. Sengupta; Timothy J. Poterucha; Théo Pezel; Teresa S.M. Tsang; Bernard Cosyns,2025,European Heart Journal - Cardiovascular Imaging,https://doi.org/10.1093/ehjci/jeaf348,10.1093/ehjci/jeaf348,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,MRI; ultrasound/echocardiography; surgical video/robotics; physiology signal,cardiology; radiology/general imaging; surgery,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis; control success,not_reported,Valvular heart disease (VHD) remains significantly underdiagnosed and undertreated.
MWM0042,Digital twin for personalized medicine development,Saniya Saratkar; Meher Langote; Praveen Kumar; Pradnyawant M. Gote; Induni Nayodhara Weerarathna; Gaurav Mishra,2025,Frontiers in Digital Health,https://doi.org/10.3389/fdgth.2025.1583466,10.3389/fdgth.2025.1583466,,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1583466/pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis,not_reported,"Digital Twin (DT) technology is revolutionizing healthcare by enabling real-time monitoring, predictive analytics, and highly personalized medical care."
MWM0043,Digital twin systems for musculoskeletal applications: A current concepts review,Pedro Diniz; Bernd Grimm; Frederic Garcia; Jennifer Fayad; Christophe Ley; Caroline Mouton; Jacob F. Oeding; Michael T. Hirschmann; et al.,2025,Knee Surgery Sports Traumatology Arthroscopy,https://doi.org/10.1002/ksa.12627,10.1002/ksa.12627,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics,neurology/neurodegeneration; radiology/general imaging; surgery,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response,not_reported,"Digital twin (DT) systems, which involve creating virtual replicas of physical objects or systems, have the potential to transform healthcare by offering personalised and predictive models that grant deeper insight into…"
